date,precio_m2,var_mensual,var_trimest,var_anual,distrito,month,year
2023-01-06,4015,0.9,2.0,5.1,madrid,1,2023
2023-01-05,3979,0.1,2.0,4.9,madrid,1,2023
2023-01-04,3977,1.1,2.8,5.6,madrid,1,2023
2023-01-03,3935,0.9,1.4,5.2,madrid,1,2023
2023-01-02,3900,0.8,0.4,4.5,madrid,1,2023
2023-01-01,3870,0.3,1.2,4.8,madrid,1,2023
2022-01-12,3881,0.9,0.8,6.3,madrid,1,2022
2022-01-11,3916,0.0,0.6,8.4,madrid,1,2022
2022-01-10,3916,0.1,1.7,8.1,madrid,1,2022
2022-01-09,3912,0.5,2.4,7.1,madrid,1,2022
2022-01-08,3893,1.1,2.6,6.6,madrid,1,2022
2022-01-07,3852,0.8,2.2,4.6,madrid,1,2022
2022-01-06,3821,0.7,2.1,3.8,madrid,1,2022
2022-01-05,3794,0.7,1.7,3.9,madrid,1,2022
2022-01-04,3767,0.7,2.0,4.0,madrid,1,2022
2022-01-03,3741,0.3,2.4,3.4,madrid,1,2022
2022-01-02,3731,1.1,3.2,3.5,madrid,1,2022
2022-01-01,3692,1.1,2.0,2.9,madrid,1,2022
2021-01-12,3652,1.0,0.0,1.5,madrid,1,2021
2021-01-11,3614,0.2,1.1,0.5,madrid,1,2021
2021-01-10,3622,0.8,1.7,0.9,madrid,1,2021
2021-01-09,3651,0.1,0.8,1.2,madrid,1,2021
2021-01-08,3654,0.8,0.1,1.0,madrid,1,2021
2021-01-07,3683,0.1,1.7,1.1,madrid,1,2021
2021-01-06,3681,0.8,1.7,0.1,madrid,1,2021
2021-01-05,3652,0.9,1.3,1.6,madrid,1,2021
2021-01-04,3621,0.1,0.9,1.3,madrid,1,2021
2021-01-03,3618,0.3,0.6,0.9,madrid,1,2021
2021-01-02,3607,0.5,0.3,0.9,madrid,1,2021
2021-01-01,3589,0.2,0.0,1.0,madrid,1,2021
2020-01-12,3597,0.0,0.3,1.2,madrid,1,2020
2020-01-11,3595,0.2,0.7,1.7,madrid,1,2020
2020-01-10,3590,0.5,1.5,2.4,madrid,1,2020
2020-01-09,3608,0.3,1.9,1.7,madrid,1,2020
2020-01-08,3619,0.7,2.5,1.9,madrid,1,2020
2020-01-07,3645,0.9,0.7,1.7,madrid,1,2020
2020-01-06,3679,0.9,0.8,0.8,madrid,1,2020
2020-01-05,3710,1.1,2.0,0.3,madrid,1,2020
2020-01-04,3669,0.5,1.2,1.4,madrid,1,2020
2020-01-03,3650,0.3,0.3,1.9,madrid,1,2020
2020-01-02,3638,0.4,0.6,1.7,madrid,1,2020
2020-01-01,3624,0.4,1.4,1.2,madrid,1,2020
2019-01-12,3639,0.5,0.8,0.1,madrid,1,2019
2019-01-11,3659,0.5,0.8,0.5,madrid,1,2019
2019-01-10,3677,0.2,0.8,1.5,madrid,1,2019
2019-01-09,3669,0.5,1.1,1.8,madrid,1,2019
2019-01-08,3688,0.5,0.9,3.0,madrid,1,2019
2019-01-07,3707,0.1,0.4,4.8,madrid,1,2019
2019-01-06,3709,0.3,0.3,6.9,madrid,1,2019
2019-01-05,3720,0.0,0.5,9.4,madrid,1,2019
2019-01-04,3721,0.0,1.4,11.8,madrid,1,2019
2019-01-03,3719,0.5,2.0,14.5,madrid,1,2019
2019-01-02,3701,0.9,1.6,16.7,madrid,1,2019
2019-01-01,3668,0.6,1.2,18.8,madrid,1,2019
2018-01-12,3644,0.1,1.1,20.5,madrid,1,2018
2018-01-11,3642,0.5,1.7,21.7,madrid,1,2018
2018-01-10,3624,0.5,2.5,21.7,madrid,1,2018
2018-01-09,3605,0.7,3.9,22.5,madrid,1,2018
2018-01-08,3580,1.3,5.3,23.0,madrid,1,2018
2018-01-07,3536,1.9,6.3,22.4,madrid,1,2018
2018-01-06,3469,2.0,6.8,21.7,madrid,1,2018
